#,,,,,,,
# Chen & Kipping 2017, ApJ,834,17,,,,
# Table: J/ApJ/834/17/table1.dat (http://cdsarc.cds.unistra.fr),,,,,,,
#,,,,,,,
# converted to CSV for ease of handling with python/pandas,,,,,,,
#,,,,,,,
Name                 ,Mass,errMass,MassUnits,Rad,errRad,RadUnits,Ref
WASP-66 b            ,2.32,0.13,Mjup,1.39,0.09,Rjup,2012MNRAS.426..739H
WASP-67 b            ,0.406,0.035,Mjup,1.091,0.046,Rjup,2014A&A...568A.127M
WASP-69 b            ,0.26,0.017,Mjup,1.057,0.047,Rjup,2014MNRAS.445.1114A
WASP-71 b            ,2.242,0.08,Mjup,1.46,0.13,Rjup,2013A&A...552A.120S
WASP-72 b            ,1.461,0.059,Mjup,1.27,0.2,Rjup,2013A&A...552A..82G
WASP-74 b            ,0.95,0.06,Mjup,1.56,0.06,Rjup,2015AJ....150...18H
WASP-75 b            ,1.07,0.05,Mjup,1.27,0.048,Rjup,2013A&A...559A..36G
WASP-77 b            ,1.76,0.06,Mjup,1.21,0.02,Rjup,2013PASP..125...48M
WASP-78 b            ,0.89,0.08,Mjup,1.7,0.11,Rjup,2012A&A...547A..61S
WASP-79 b            ,0.9,0.08,Mjup,2.09,0.14,Rjup,2012A&A...547A..61S
WASP-80 b            ,0.562,0.027,Mjup,0.986,0.022,Rjup,2014A&A...562A.126M
WASP-84 b            ,0.687,0.033,Mjup,0.976,0.025,Rjup,2015ApJ...800L...9A
WASP-85 b            ,1.265,0.062,Mjup,1.24,0.03,Rjup,2016AJ....151..150M
WASP-87 b            ,2.18,0.15,Mjup,1.385,0.06,Rjup,2014arXiv1410.3449A
WASP-89 b            ,5.9,0.4,Mjup,1.04,0.04,Rjup,2015AJ....150...18H
WASP-90 b            ,0.63,0.07,Mjup,1.63,0.09,Rjup,2016A&A...585A.126W
WASP-96 b            ,0.48,0.03,Mjup,1.2,0.06,Rjup,2014MNRAS.440.1982H
WASP-97 b            ,1.32,0.05,Mjup,1.13,0.06,Rjup,2014MNRAS.440.1982H
WASP-98 b            ,0.83,0.07,Mjup,1.1,0.04,Rjup,2014MNRAS.440.1982H
WASP-100 b           ,2.03,0.12,Mjup,1.69,0.29,Rjup,2014MNRAS.440.1982H
WASP-101 b           ,0.5,0.04,Mjup,1.41,0.05,Rjup,2014MNRAS.440.1982H
WASP-103 b           ,1.47,0.11,Mjup,1.554,0.045,Rjup,2015MNRAS.447..711S
WASP-104 b           ,1.272,0.047,Mjup,1.137,0.037,Rjup,2014A&A...570A..64S
WASP-108 b           ,0.892,0.055,Mjup,1.284,0.047,Rjup,2014arXiv1410.3449A
WASP-109 b           ,0.91,0.13,Mjup,1.443,0.053,Rjup,2014arXiv1410.3449A
WASP-110 b           ,0.51,0.064,Mjup,1.238,0.056,Rjup,2014arXiv1410.3449A
WASP-111 b           ,1.83,0.15,Mjup,1.443,0.094,Rjup,2014arXiv1410.3449A
WASP-112 b           ,0.88,0.12,Mjup,1.191,0.049,Rjup,2014arXiv1410.3449A
WASP-120 b           ,5.01,0.26,Mjup,1.515,0.083,Rjup,2016PASP..128f4401T
WASP-121 b           ,1.183,0.064,Mjup,1.865,0.044,Rjup,2016MNRAS.458.4025D
WASP-122 b           ,1.372,0.072,Mjup,1.792,0.069,Rjup,2016PASP..128f4401T
WASP-123 b           ,0.92,0.05,Mjup,1.327,0.074,Rjup,2016PASP..128f4401T
WASP-135 b           ,1.9,0.08,Mjup,1.3,0.09,Rjup,2016PASP..128b4401S
WTS-2 b              ,1.12,0.16,Mjup,1.363,0.061,Rjup,2014MNRAS.440.1470B
XO-1 b               ,0.924,0.077,Mjup,1.206,0.041,Rjup,2010MNRAS.408.1689S
XO-2 b               ,0.597,0.021,Mjup,1.019,0.031,Rjup,2015A&A...575A.111D
XO-3 b               ,11.83,0.38,Mjup,1.248,0.049,Rjup,2010MNRAS.408.1689S
XO-5 b               ,1.19,0.031,Mjup,1.142,0.034,Rjup,2015AcA....65..117S
